"room","observations","missing_co2","mean_co2","median_co2","sd_co2","min_co2","max_co2","missing_temp","mean_temp","median_temp","sd_temp","min_temp","max_temp","missing_hum","mean_hum","median_hum","sd_hum","min_hum","max_hum"
"room00",415315,0,433.614894718467,418,68.790771985229,383,2683,0,22.2029214692462,22.21,0.58111497666679,19.6,25.08,0,29.6747067165885,26.11,12.8909467408295,7.08,74.77
"room01",454904,0,462.425513954593,419,93.5399995073982,386,1136,0,22.5790401491304,22.47,0.807539224089608,20.67,28.78,0,29.3799037379319,26.25,12.9421487744368,7.17,67.21
"room02",502163,8,447.581593332736,418,67.92412731447,389,1088,0,21.2171437959388,21.22,0.587427415719175,19.6,25.89,0,29.3962382732285,24.81,15.7153222128913,3.95,77.17
"room03",523728,5,460.710362157094,418,104.416497140906,382,1400,0,20.5903801018849,20.55,0.985844088686614,15.74,25.41,0,30.3205615319402,25.95,14.7181864336547,7.24,73.92
"room04",443425,0,428.162886621187,416,51.7410819973057,384,1142,0,21.2395445904042,21.28,0.844339588687181,19.5,26.15,0,30.6619382308184,27,13.8491966467386,5.92,67.9
"room05",503006,0,430.539184423247,417,41.1912125488369,385,865,0,22.6697974974454,22.54,1.13278200426234,19.76,27.4,0,23.9681077959317,20.95,13.1427446290246,1.71,60.81
"room06",460397,0,427.621554875466,415,37.9765380232567,386,864,0,21.8888328551229,21.82,0.657826903335392,19.91,25.05,0,28.6747336320621,24.33,14.3946961048296,4.4,68.13
"room07",527178,0,431.076672395282,420,37.5958682066607,325,1089,0,21.5223331588192,21.52,0.6883483060983,19.61,24.25,0,28.6263030513426,24.81,15.2044093882677,3.64,71.44
"room08",492841,0,439.862296359272,420,62.2604619787801,380,1375,0,22.5970977658109,22.48,0.84911772438551,20.45,26.21,0,27.671914897502,24.12,14.3376793549249,3.91,68.65
"room09",489034,0,432.497272173305,416,47.3916076810766,380,2101,0,22.9033912774981,22.83,1.10380856296356,19.18,42.41,0,25.5294502631708,22.57,12.3798014009828,0.09,62.43
"room10",518896,0,432.597135071382,420,39.4631835228512,388,823,0,22.1428502050507,21.99,0.773930208871332,20.63,25.8,0,27.5346470583696,24.39,14.4857092547393,3.96,66.87
"room11",467760,0,432.2395245425,418,41.4192244925349,390,877,0,22.2855230246281,22.24,1.1521162490849,19.18,30.09,0,31.0619831537549,28.52,15.3406399607996,5.66,69.58
"room12",515174,24,439.262315830341,419,49.8138241738138,384,753,0,22.1683549053329,21.94,1.20231830185852,18.31,30.36,0,28.2803357506404,25.62,13.8791478197105,4.75,65.7
