"room","observations","start_time","end_time","median_gap_sec","max_gap_sec","gaps_over_5min","max_gap_hours","max_gap_days"
"room00",415315,2019-02-11 11:23:57,2019-12-31 23:59:35,61,1123589,123,312.108055555556,13.0045023148148
"room01",454904,2019-01-11 11:24:27,2019-12-31 23:59:50,60,649922,55,180.533888888889,7.52224537037037
"room02",502163,2019-01-09 08:32:47,2019-12-31 23:59:34,60,203839,47,56.6219444444444,2.35924768518519
"room03",523728,2019-01-01 00:00:08,2019-12-31 23:59:28,60,195285,32,54.2458333333333,2.26024305555556
"room04",443425,2019-02-08 09:09:04,2019-12-31 23:59:27,60,843130,31,234.202777777778,9.75844907407407
"room05",503006,2019-01-07 13:15:25,2019-12-31 23:59:48,60,187629,52,52.1191666666667,2.17163194444444
"room06",460397,2019-01-21 06:14:01,2019-12-31 23:59:59,60,431153,131,119.764722222222,4.99019675925926
"room07",527178,2019-01-04 13:52:56,2019-12-31 23:59:34,60,93827,22,26.0630555555556,1.08596064814815
"room08",492841,2019-01-17 05:30:40,2019-12-31 23:59:26,60,84099,43,23.3608333333333,0.973368055555556
"room09",489034,2019-01-01 00:00:07,2019-12-31 23:59:16,60,406351,244,112.875277777778,4.70313657407407
"room10",518896,2019-01-08 11:25:56,2019-12-31 23:59:11,60,309005,19,85.8347222222222,3.57644675925926
"room11",467760,2019-01-14 09:27:44,2019-12-31 23:59:53,60,1226408,52,340.668888888889,14.194537037037
"room12",515174,2019-01-01 00:00:17,2019-12-31 23:59:41,60,309129,35,85.8691666666667,3.57788194444444
